sonde,hr,tem,u_wind,v_wind,sid,sshs,rmw,quad,dist,duct
data/sondes/qc/HURR1_/g122455016QC.nc,1.0910716612967943,286.79000034332273,-18.017252,-3.560896,2012234N16315,0.0,40.0,1,145.0921230465883,False
data/sondes/qc/HURR1_/g122455017QC.nc,0.0018218825720249503,206.2399963378906,5.0277348,4.0824513,2012234N16315,0.0,40.0,1,514.0488677174967,False
data/sondes/qc/HURR1_/g122455019QC.nc,1.406411083101362,288.08000030517576,12.171746,-6.494263,2012234N16315,0.0,30.0,4,173.36102478565468,False
data/sondes/qc/HURR1_/g122455020QC.nc,0.0019082193888203252,210.69000091552732,-1.1474525,18.35986,2012296N14283,0.0,70.0,4,541.150692411553,False
data/sondes/qc/HURR1_/g122455021QC.nc,0.9306868959399632,285.3200000762939,-0.021596443,1.3463207,2015229N10331,0.0,20.0,4,163.94129649807883,False
data/sondes/qc/HURR1_/g122455025QC.nc,0.0031264336923672955,210.92999877929685,4.2597146,-14.390026,2014274N15260,-3.0,80.0,1,2144.3915012336474,False
data/sondes/qc/HURR1_/g122455057QC.nc,0.0020107536178747194,205.56000366210935,11.869403,-13.881686,2012234N16315,0.0,40.0,1,880.8248996416374,False
data/sondes/qc/HURR1_/g122455065QC.nc,0.0018597347779578729,208.4500030517578,8.453847,3.9695284,2012296N14283,0.0,70.0,4,482.5527969343923,True
data/sondes/qc/HURR1_/g122455066QC.nc,0.0022080884811980775,211.23000183105466,0.01020295,17.22424,2012234N16315,0.0,45.0,3,404.7507643317403,False
data/sondes/qc/HURR1_/g122455067QC.nc,1.3167398553998924,294.1299995422363,17.27644,-13.746998,2012296N14283,1.0,30.0,4,155.64303392499068,False
data/sondes/qc/HURR1_/g122455068QC.nc,0.001077868045059315,205.1200012207031,-4.4082837,-3.828968,2014212N11242,1.0,20.0,2,432.15578813713455,False
data/sondes/qc/HURR1_/g122455069QC.nc,0.0029287857689687564,208.05000152587888,4.38919,5.3989058,2014212N11242,2.0,15.0,4,308.644866114422,False
data/sondes/qc/HURR1_/g122455070QC.nc,0.0021394411924713546,208.6200012207031,-9.915345,-0.9080612,2012234N16315,0.0,40.0,4,550.8881237038548,False
data/sondes/qc/HURR1_/g122455071QC.nc,1.1064656115208806,286.88999977111814,-9.468659,9.943141,2015229N10331,0.0,20.0,1,275.0375070985185,False
data/sondes/qc/HURR1_/g122455072QC.nc,0.8319072624793884,291.0200008392334,15.435162,35.304455,2012296N14283,1.0,50.0,4,241.1754118701408,False
data/sondes/qc/HURR1_/g122455073QC.nc,1.2836460489047192,287.2800001144409,-30.086552,-26.271784,2012296N14283,1.0,50.0,4,70.24496419921385,False
